"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Nantes (SP)";"28842";"210";"6340";"7000";"15000"
"Narandiba (SP)";"23033";"-";"17550";"2808";"2558"
"Natividade da Serra (SP)";"187";"-";"-";"30";"-"
"Nazaré Paulista (SP)";"450";"19";"32";"350";"-"
"Neves Paulista (SP)";"12292";"20";"8000";"120";"1150"
"Nhandeara (SP)";"17004";"-";"11200";"400";"2000"
"Nipoã (SP)";"6895";"-";"5650";"150";"340"
"Nova Aliança (SP)";"11538";"7";"10500";"50";"420"
"Nova Campina (SP)";"943";"-";"2";"280";"200"
"Nova Canaã Paulista (SP)";"2105";"-";"1700";"150";"-"
"Nova Castilho (SP)";"8539";"-";"7300";"150";"600"
"Nova Europa (SP)";"10018";"-";"8018";"300";"1000"
"Nova Granada (SP)";"26408";"-";"19000";"1200";"1500"
"Nova Guataporanga (SP)";"1335";"3";"1125";"53";"-"
"Nova Independência (SP)";"11010";"-";"10600";"30";"-"
"Novais (SP)";"6339";"1";"5000";"75";"1000"
"Nova Luzitânia (SP)";"2455";"-";"2200";"-";"225"
"Nova Odessa (SP)";"663";"-";"-";"415";"186"
"Novo Horizonte (SP)";"49109";"33";"42500";"400";"800"
"Nuporanga (SP)";"20425";"552";"15359";"488";"3580"
"Ocauçu (SP)";"5416";"650";"1725";"20";"968"
"Óleo (SP)";"11538";"80";"4600";"970";"5143"
"Olímpia (SP)";"49250";"5";"43800";"300";"400"
"Onda Verde (SP)";"14199";"-";"10300";"600";"320"
"Oriente (SP)";"2340";"100";"-";"180";"-"
"Orindiúva (SP)";"16158";"-";"10800";"50";"4504"
"Orlândia (SP)";"20790";"371";"17216";"113";"2958"
"Osasco (SP)";"...";"...";"...";"...";"..."
"Oscar Bressane (SP)";"4949";"67";"1625";"280";"100"
"Osvaldo Cruz (SP)";"5170";"1300";"2850";"350";"200"
"Ourinhos (SP)";"23653";"27";"16500";"3000";"4000"
"Ouroeste (SP)";"13306";"-";"11000";"350";"300"
"Ouro Verde (SP)";"10209";"6";"9000";"-";"-"
"Pacaembu (SP)";"8841";"350";"6500";"470";"280"
"Palestina (SP)";"35824";"-";"28728";"1100";"2741"
"Palmares Paulista (SP)";"8845";"-";"6552";"17";"1200"
"Palmeira d'Oeste (SP)";"1978";"-";"-";"20";"192"
"Palmital (SP)";"70685";"-";"20720";"19783";"28278"
"Panorama (SP)";"10888";"-";"9600";"-";"-"
"Paraguaçu Paulista (SP)";"53155";"10";"45000";"1000";"4300"
"Paraibuna (SP)";"105";"-";"1";"25";"-"
"Paraíso (SP)";"10544";"1";"8500";"150";"500"
"Paranapanema (SP)";"51873";"-";"2577";"7500";"18000"
"Paranapuã (SP)";"5589";"-";"4200";"60";"640"
"Parapuã (SP)";"16970";"1200";"9450";"500";"2000"
"Pardinho (SP)";"8051";"492";"-";"825";"2670"
"Pariquera-Açu (SP)";"3273";"2";"8";"150";"20"
"Parisi (SP)";"2476";"-";"1100";"450";"170"
"Patrocínio Paulista (SP)";"26284";"3679";"18000";"800";"1200"
"Paulicéia (SP)";"12913";"-";"11900";"10";"320"
"Paulínia (SP)";"3678";"-";"3500";"68";"-"
"Paulistânia (SP)";"1844";"-";"70";"29";"484"
"Paulo de Faria (SP)";"41168";"-";"34000";"500";"3500"
"Pederneiras (SP)";"36445";"22";"28000";"2947";"4056"
"Pedra Bela (SP)";"3491";"72";"15";"1200";"2000"
"Pedranópolis (SP)";"8558";"-";"7000";"70";"100"
"Pedregulho (SP)";"26552";"16500";"6400";"2300";"1300"
"Pedreira (SP)";"32";"8";"-";"7";"-"
"Pedrinhas Paulista (SP)";"19490";"-";"2700";"8300";"8000"
"Pedro de Toledo (SP)";"1291";"-";"-";"-";"-"
"Penápolis (SP)";"37668";"50";"27722";"500";"4800"
"Pereira Barreto (SP)";"33518";"-";"29700";"425";"2000"
"Pereiras (SP)";"753";"-";"500";"250";"-"
"Peruíbe (SP)";"577";"-";"-";"-";"-"
"Piacatu (SP)";"8426";"16";"7400";"150";"510"
"Piedade (SP)";"1142";"-";"-";"500";"200"
"Pilar do Sul (SP)";"16328";"-";"-";"5500";"7000"
"Pindamonhangaba (SP)";"2531";"-";"-";"1000";"1000"
"Pindorama (SP)";"9997";"-";"8000";"75";"600"
"Pinhalzinho (SP)";"2133";"70";"6";"100";"1500"
"Piquerobi (SP)";"6612";"-";"3561";"1000";"1200"
"Piquete (SP)";"55";"-";"-";"15";"-"
"Piracaia (SP)";"302";"1";"50";"180";"-"
"Piracicaba (SP)";"47703";"-";"41200";"2100";"1600"
"Piraju (SP)";"26717";"1300";"4000";"3850";"14000"
"Pirajuí (SP)";"26632";"185";"16000";"950";"2500"
"Pirangi (SP)";"14605";"17";"12000";"10";"300"
"Pirapora do Bom Jesus (SP)";"...";"...";"...";"...";"..."
"Pirapozinho (SP)";"12894";"30";"10500";"600";"1300"
"Pirassununga (SP)";"43220";"-";"22000";"4300";"6500"
"Piratininga (SP)";"3685";"20";"1990";"-";"200"
"Pitangueiras (SP)";"36972";"4";"34800";"220";"600"
"Planalto (SP)";"16677";"-";"13900";"100";"1200"
"Platina (SP)";"27330";"-";"8100";"9050";"9010"
"Poá (SP)";"...";"...";"...";"...";"..."
"Poloni (SP)";"7837";"-";"5900";"400";"100"
"Pompéia (SP)";"22275";"98";"7530";"1000";"1000"
"Pongaí (SP)";"8750";"15";"6900";"200";"500"
"Pontal (SP)";"27960";"-";"26160";"200";"900"
"Pontalinda (SP)";"7013";"-";"5960";"100";"30"
"Pontes Gestal (SP)";"9651";"13";"8400";"100";"600"
"Populina (SP)";"10719";"6";"9800";"30";"200"
"Porangaba (SP)";"1293";"-";"485";"300";"210"
"Porto Feliz (SP)";"17643";"26";"15000";"600";"650"
"Porto Ferreira (SP)";"15798";"-";"9900";"750";"3200"
"Potim (SP)";"1220";"-";"-";"350";"500"
"Potirendaba (SP)";"18986";"10";"15000";"500";"2250"
"Pracinha (SP)";"1769";"-";"750";"35";"170"
"Pradópolis (SP)";"14754";"1";"11500";"530";"2245"
"Praia Grande (SP)";"...";"...";"...";"...";"..."
"Pratânia (SP)";"10579";"225";"6600";"310";"104"
"Presidente Alves (SP)";"2651";"27";"1036";"20";"-"
"Presidente Bernardes (SP)";"11592";"-";"5000";"2500";"2800"
"Presidente Epitácio (SP)";"14141";"-";"11000";"400";"700"
"Presidente Prudente (SP)";"9610";"-";"8380";"230";"-"
"Presidente Venceslau (SP)";"5288";"-";"3000";"400";"-"
"Promissão (SP)";"29059";"30";"24365";"300";"3000"
"Quadra (SP)";"9174";"-";"5000";"1250";"2000"
"Quatá (SP)";"31858";"76";"27000";"150";"3000"
"Queiroz (SP)";"10845";"-";"9645";"-";"500"
"Queluz (SP)";"74";"-";"20";"17";"-"
"Quintana (SP)";"16050";"40";"4240";"500";"3000"
"Rafard (SP)";"6135";"-";"6000";"100";"35"
"Rancharia (SP)";"117196";"-";"64200";"18750";"21200"
"Redenção da Serra (SP)";"40";"-";"5";"5";"-"
"Regente Feijó (SP)";"7873";"80";"4000";"620";"1500"
"Reginópolis (SP)";"14163";"-";"10000";"750";"350"
"Registro (SP)";"5622";"3";"13";"20";"-"
"Restinga (SP)";"15245";"2500";"12000";"200";"500"
"Ribeira (SP)";"388";"-";"110";"80";"-"
"Ribeirão Bonito (SP)";"19566";"48";"16000";"100";"700"
"Ribeirão Branco (SP)";"15595";"-";"-";"11500";"2500"
"Ribeirão Corrente (SP)";"10150";"7000";"2800";"150";"200"
"Ribeirão do Sul (SP)";"25412";"440";"3800";"7430";"12500"
"Ribeirão dos Índios (SP)";"4069";"-";"2300";"15";"730"
"Ribeirão Grande (SP)";"5294";"-";"2";"3300";"1600"
"Ribeirão Pires (SP)";"...";"...";"...";"...";"..."
"Ribeirão Preto (SP)";"39690";"70";"37104";"800";"700"
"Riversul (SP)";"8194";"-";"60";"1300";"5500"
"Rifaina (SP)";"2675";"30";"2145";"-";"500"
"Rincão (SP)";"22923";"-";"18500";"30";"1500"
"Rinópolis (SP)";"8400";"100";"3900";"500";"1000"
"Rio Claro (SP)";"13161";"17";"11118";"1232";"200"
"Rio das Pedras (SP)";"13661";"-";"12500";"210";"950"
"Rio Grande da Serra (SP)";"...";"...";"...";"...";"..."
"Riolândia (SP)";"24826";"-";"20300";"600";"800"
"Rosana (SP)";"11405";"10";"-";"3600";"5200"
"Roseira (SP)";"2215";"-";"-";"400";"450"
"Rubiácea (SP)";"8988";"-";"8174";"34";"540"
"Rubinéia (SP)";"3354";"-";"2200";"120";"830"
"Sabino (SP)";"10822";"2";"8100";"150";"1600"
"Sagres (SP)";"5671";"125";"3600";"90";"90"
"Sales (SP)";"14380";"-";"12400";"300";"500"
"Sales Oliveira (SP)";"19070";"243";"15610";"177";"2793"
"Salesópolis (SP)";"99";"-";"-";"-";"-"
"Salmourão (SP)";"6653";"280";"4680";"100";"250"
"Saltinho (SP)";"3202";"-";"3000";"130";"50"
"Salto (SP)";"1586";"-";"1100";"250";"200"
"Salto de Pirapora (SP)";"2052";"-";"-";"850";"900"
"Salto Grande (SP)";"25360";"-";"1000";"12150";"12200"
"Sandovalina (SP)";"38694";"-";"33792";"2000";"2000"
"Santa Adélia (SP)";"25243";"-";"23000";"50";"650"
"Santa Albertina (SP)";"7907";"-";"7200";"40";"-"
"Santa Bárbara d'Oeste (SP)";"16701";"24";"15300";"480";"800"
"Santa Branca (SP)";"44";"-";"-";"1";"-"
"Santa Clara d'Oeste (SP)";"642";"-";"-";"-";"150"
"Santa Cruz da Conceição (SP)";"6087";"-";"4283";"660";"600"
"Santa Cruz da Esperança (SP)";"7998";"150";"7387";"250";"200"
"Santa Cruz das Palmeiras (SP)";"19518";"495";"16271";"275";"1285"
"Santa Cruz do Rio Pardo (SP)";"104834";"200";"25050";"26500";"40000"
"Santa Ernestina (SP)";"7780";"-";"7105";"40";"150"
"Santa Fé do Sul (SP)";"2530";"-";"1030";"145";"12"
"Santa Gertrudes (SP)";"5279";"-";"4960";"-";"209"
"Santa Isabel (SP)";"176";"-";"-";"-";"-"
"Santa Lúcia (SP)";"13323";"170";"12071";"160";"400"
"Santa Maria da Serra (SP)";"7550";"-";"4300";"230";"1500"
"Santa Mercedes (SP)";"7715";"-";"7500";"-";"-"
"Santana da Ponte Pensa (SP)";"2756";"-";"1790";"2";"340"
"Santana de Parnaíba (SP)";"...";"...";"...";"...";"..."
"Santa Rita d'Oeste (SP)";"7600";"-";"5110";"-";"1570"
"Santa Rita do Passa Quatro (SP)";"22410";"180";"19000";"650";"450"
"Santa Rosa de Viterbo (SP)";"15498";"120";"12600";"250";"1300"
"Santa Salete (SP)";"1152";"-";"138";"20";"-"
"Santo Anastácio (SP)";"4208";"-";"-";"388";"3703"
"Santo André (SP)";"...";"...";"...";"...";"..."
"Santo Antônio da Alegria (SP)";"11054";"2750";"2300";"1175";"1500"
"Santo Antônio de Posse (SP)";"6165";"83";"2209";"1000";"400"
"Santo Antônio do Aracanguá (SP)";"34829";"-";"23524";"300";"8000"
"Santo Antônio do Jardim (SP)";"4326";"3720";"-";"250";"300"
"Santo Antônio do Pinhal (SP)";"66";"-";"-";"10";"-"
"Santo Expedito (SP)";"1341";"-";"1100";"70";"-"
"Santópolis do Aguapeí (SP)";"5471";"2";"5073";"-";"-"
"Santos (SP)";"...";"...";"...";"...";"..."
"São Bento do Sapucaí (SP)";"1163";"-";"-";"80";"-"
"São Bernardo do Campo (SP)";"...";"...";"...";"...";"..."
"São Carlos (SP)";"43145";"700";"36000";"2000";"2000"
"São Francisco (SP)";"1683";"-";"1520";"3";"-"
"São João da Boa Vista (SP)";"16410";"3000";"6500";"1500";"4000"
"São João das Duas Pontes (SP)";"4508";"5";"4200";"80";"-"
"São João de Iracema (SP)";"7361";"-";"6800";"100";"200"
"São João do Pau d'Alho (SP)";"6025";"2";"4800";"-";"410"
"São Joaquim da Barra (SP)";"31099";"-";"25362";"277";"4802"
"São José da Bela Vista (SP)";"26158";"1480";"20700";"390";"3500"
"São José do Barreiro (SP)";"125";"-";"44";"45";"-"
"São José do Rio Pardo (SP)";"6536";"1300";"300";"1000";"2200"
"São José do Rio Preto (SP)";"5330";"-";"3900";"60";"418"
"São José dos Campos (SP)";"32";"-";"-";"-";"-"
"São Lourenço da Serra (SP)";"...";"...";"...";"...";"..."
"São Luiz do Paraitinga (SP)";"354";"-";"12";"320";"-"
"São Manuel (SP)";"41378";"815";"38180";"155";"1040"
"São Miguel Arcanjo (SP)";"30037";"-";"-";"8900";"11000"
"São Paulo (SP)";"141";"1";"11";"30";"-"
"São Pedro (SP)";"13261";"32";"10500";"410";"180"
"São Pedro do Turvo (SP)";"56322";"230";"12000";"16200";"19000"
"São Roque (SP)";"870";"-";"-";"700";"50"
"São Sebastião (SP)";"96";"-";"-";"-";"-"
"São Sebastião da Grama (SP)";"6859";"5500";"-";"100";"400"
"São Simão (SP)";"24299";"30";"24000";"70";"-"
"São Vicente (SP)";"...";"...";"...";"...";"..."
"Sarapuí (SP)";"4238";"-";"-";"1260";"1600"
"Sarutaiá (SP)";"8230";"1700";"1000";"1920";"2500"
"Sebastianópolis do Sul (SP)";"9910";"-";"9000";"300";"150"
"Serra Azul (SP)";"18254";"-";"17000";"15";"800"
"Serrana (SP)";"7932";"90";"7192";"250";"200"
"Serra Negra (SP)";"3418";"2540";"40";"300";"300"
"Sertãozinho (SP)";"29740";"-";"27500";"240";"500"
"Sete Barras (SP)";"7126";"2";"2";"50";"-"
"Severínia (SP)";"9231";"-";"7300";"100";"350"
"Silveiras (SP)";"82";"-";"10";"20";"-"
"Socorro (SP)";"7178";"2700";"300";"1800";"1300"
"Sorocaba (SP)";"3429";"-";"1500";"560";"600"
"Sud Mennucci (SP)";"21258";"-";"12300";"1128";"3704"
"Sumaré (SP)";"2284";"-";"800";"300";"500"
"Suzano (SP)";"5";"-";"-";"-";"-"
"Suzanápolis (SP)";"11905";"-";"11000";"-";"740"
"Tabapuã (SP)";"22811";"-";"19268";"25";"320"
"Tabatinga (SP)";"23813";"85";"17900";"400";"2500"
"Taboão da Serra (SP)";"...";"...";"...";"...";"..."
"Taciba (SP)";"25911";"-";"18500";"7020";"-"
"Taguaí (SP)";"11746";"1960";"-";"3866";"3100"
"Taiaçu (SP)";"9222";"-";"7300";"190";"230"
"Taiúva (SP)";"9462";"-";"7700";"210";"120"
"Tambaú (SP)";"24472";"200";"18000";"400";"1200"
"Tanabi (SP)";"36304";"20";"26000";"300";"3000"
"Tapiraí (SP)";"332";"-";"-";"-";"-"
"Tapiratiba (SP)";"6507";"1850";"1600";"600";"700"
"Taquaral (SP)";"4750";"-";"2220";"10";"150"
"Taquaritinga (SP)";"39888";"-";"28700";"1000";"1750"
"Taquarituba (SP)";"44441";"700";"227";"8700";"22000"
"Taquarivaí (SP)";"26623";"-";"-";"6200";"14000"
"Tarabai (SP)";"3620";"-";"3200";"130";"150"
"Tarumã (SP)";"35819";"-";"18900";"8850";"7700"
"Tatuí (SP)";"21058";"-";"9850";"3800";"5000"
"Taubaté (SP)";"1163";"-";"-";"196";"600"
"Tejupá (SP)";"10925";"4500";"-";"1550";"4450"
"Teodoro Sampaio (SP)";"47341";"50";"36450";"690";"2155"
"Terra Roxa (SP)";"17058";"-";"15000";"50";"1500"
"Tietê (SP)";"16919";"-";"14000";"2500";"100"
"Timburi (SP)";"4015";"835";"100";"200";"2050"
"Torre de Pedra (SP)";"46";"-";"7";"15";"-"
"Torrinha (SP)";"9688";"1650";"4700";"700";"1800"
"Trabiju (SP)";"2700";"190";"2400";"10";"13"
"Tremembé (SP)";"2560";"-";"-";"800";"1000"
"Três Fronteiras (SP)";"2639";"-";"1600";"200";"200"
"Tuiuti (SP)";"2187";"40";"-";"1900";"200"
"Tupã (SP)";"31885";"140";"10000";"1500";"3500"
"Tupi Paulista (SP)";"10971";"20";"9250";"20";"120"
"Turiúba (SP)";"7721";"-";"5900";"-";"967"
"Turmalina (SP)";"6630";"-";"5030";"400";"-"
"Ubarana (SP)";"16446";"-";"14470";"300";"50"
"Ubatuba (SP)";"147";"-";"-";"-";"-"
"Ubirajara (SP)";"8467";"200";"-";"30";"2400"
"Uchoa (SP)";"16310";"-";"15010";"250";"320"
"União Paulista (SP)";"5433";"-";"2900";"995";"820"
"Urânia (SP)";"4454";"3";"2750";"50";"-"
"Uru (SP)";"5110";"21";"4534";"-";"-"
"Urupês (SP)";"23019";"-";"19000";"200";"600"
"Valentim Gentil (SP)";"5276";"-";"4000";"120";"600"
"Valinhos (SP)";"767";"-";"-";"30";"-"
"Valparaíso (SP)";"54453";"-";"53040";"400";"400"
"Vargem (SP)";"1461";"5";"-";"750";"320"
"Vargem Grande do Sul (SP)";"12246";"420";"5200";"2000";"3500"
"Vargem Grande Paulista (SP)";"...";"...";"...";"...";"..."
"Várzea Paulista (SP)";"...";"...";"...";"...";"..."
"Vera Cruz (SP)";"3486";"2700";"-";"200";"-"
"Vinhedo (SP)";"154";"2";"-";"30";"-"
"Viradouro (SP)";"17429";"-";"14800";"75";"2000"
"Vista Alegre do Alto (SP)";"7076";"-";"3830";"5";"400"
"Vitória Brasil (SP)";"1087";"-";"265";"110";"100"
"Votorantim (SP)";"600";"-";"-";"400";"200"
"Votuporanga (SP)";"12451";"10";"10000";"100";"200"
"Zacarias (SP)";"9491";"-";"6800";"750";"600"
"Chavantes (SP)";"14002";"2";"9600";"1700";"2500"
"Estiva Gerbi (SP)";"2992";"2";"662";"200";"500"
"Abatiá (PR)";"18671";"260";"560";"5060";"9600"
"Adrianópolis (PR)";"1129";"-";"420";"150";"18"
"Agudos do Sul (PR)";"6674";"-";"-";"3585";"2130"
"Almirante Tamandaré (PR)";"1844";"-";"-";"600";"600"
"Altamira do Paraná (PR)";"3915";"-";"-";"1200";"2600"
"Altônia (PR)";"13964";"71";"-";"2900";"7200"
"Alto Paraná (PR)";"8417";"8";"2852";"348";"600"
"Alto Piquiri (PR)";"61559";"-";"-";"28000";"33400"
"Alvorada do Sul (PR)";"42148";"58";"1694";"19830";"20450"
"Amaporã (PR)";"17235";"1";"9343";"2100";"1950"
"Ampére (PR)";"16438";"-";"10";"2200";"8900"
"Anahy (PR)";"10676";"5";"1";"4440";"5286"
"Andirá (PR)";"32972";"2";"6200";"9480";"16000"
"Ângulo (PR)";"14526";"5";"286";"6555";"7100"
"Antonina (PR)";"1610";"-";"40";"12";"-"
"Antônio Olinto (PR)";"11023";"-";"-";"1200";"3000"
"Apucarana (PR)";"46455";"1100";"3";"12500";"22500"
"Arapongas (PR)";"43227";"42";"21";"12250";"22200"
"Arapoti (PR)";"61208";"80";"3";"5700";"33600"
"Arapuã (PR)";"22727";"10";"315";"7150";"11200"
"Araruna (PR)";"41370";"70";"140";"6000";"28100"
"Araucária (PR)";"17116";"-";"-";"2500";"9000"
"Ariranha do Ivaí (PR)";"25928";"5";"-";"7770";"12800"
"Assaí (PR)";"57321";"200";"243";"17060";"27000"
"Assis Chateaubriand (PR)";"143472";"10";"50";"70550";"71820"
"Astorga (PR)";"50100";"100";"1433";"22440";"25700"
"Atalaia (PR)";"16236";"2";"1098";"6560";"7300"
"Balsa Nova (PR)";"11948";"-";"-";"1500";"7000"
"Bandeirantes (PR)";"44737";"15";"7303";"13266";"18379"
"Barbosa Ferraz (PR)";"28572";"5";"10";"10550";"16000"
"Barracão (PR)";"6064";"-";"13";"650";"3800"
"Barra do Jacaré (PR)";"13352";"1";"2100";"4130";"5900"
"Bela Vista da Caroba (PR)";"10453";"-";"10";"430";"5850"
"Bela Vista do Paraíso (PR)";"34324";"35";"-";"16780";"17100"
"Bituruna (PR)";"13283";"-";"164";"1500";"4500"
"Boa Esperança (PR)";"47204";"-";"-";"19900";"25500"
"Boa Esperança do Iguaçu (PR)";"13364";"-";"2";"600";"5500"
"Boa Ventura de São Roque (PR)";"31918";"-";"-";"2400";"22500"
"Boa Vista da Aparecida (PR)";"8921";"-";"30";"1250";"4200"
"Bocaiúva do Sul (PR)";"456";"-";"-";"110";"105"
"Bom Jesus do Sul (PR)";"8368";"-";"10";"1200";"4650"
"Bom Sucesso (PR)";"24005";"5";"5750";"5150";"9000"
"Bom Sucesso do Sul (PR)";"37117";"-";"20";"5700";"13800"
"Borrazópolis (PR)";"28268";"90";"-";"8020";"15000"
"Braganey (PR)";"33133";"15";"50";"10200";"17700"
"Brasilândia do Sul (PR)";"42810";"-";"-";"20004";"22800"
"Cafeara (PR)";"10595";"13";"3830";"1760";"4260"
"Cafelândia (PR)";"48177";"-";"5";"21905";"23727"
"Cafezal do Sul (PR)";"15285";"4";"-";"2000";"12000"
"Califórnia (PR)";"14520";"45";"5";"2720";"7100"
"Cambará (PR)";"43869";"1";"9511";"15560";"17500"
"Cambé (PR)";"68610";"140";"25";"32500";"35200"
"Cambira (PR)";"16901";"380";"490";"2700";"8000"
"Campina da Lagoa (PR)";"70583";"-";"-";"30435";"37000"
"Campina do Simão (PR)";"17977";"-";"2";"1650";"12100"
"Campina Grande do Sul (PR)";"309";"-";"-";"95";"80"
"Campo Bonito (PR)";"31318";"-";"3";"5400";"15725"
"Campo do Tenente (PR)";"16719";"-";"-";"2200";"12565"
"Campo Largo (PR)";"10844";"-";"-";"1400";"5000"
"Campo Magro (PR)";"2858";"-";"-";"800";"1000"
"Campo Mourão (PR)";"92266";"5";"5";"20500";"49500"
"Cândido de Abreu (PR)";"37833";"-";"15";"5400";"24800"
"Candói (PR)";"76372";"-";"8";"7250";"51300"
"Cantagalo (PR)";"26933";"-";"5";"2680";"20600"
"Capanema (PR)";"32901";"-";"70";"8200";"18550"
"Capitão Leônidas Marques (PR)";"15675";"-";"60";"5100";"7400"
"Carambeí (PR)";"44273";"-";"-";"5350";"21850"
"Carlópolis (PR)";"11544";"5040";"50";"2350";"2400"
"Cascavel (PR)";"180405";"-";"45";"62200";"86600"
"Castro (PR)";"102561";"-";"-";"14950";"54500"
"Catanduvas (PR)";"32068";"-";"15";"5200";"17550"
"Centenário do Sul (PR)";"33693";"17";"6711";"8660";"13500"
"Cerro Azul (PR)";"15514";"-";"50";"3000";"600"
"Céu Azul (PR)";"36570";"-";"75";"10725";"17300"
"Chopinzinho (PR)";"62638";"-";"40";"2500";"32800"
"Cianorte (PR)";"39426";"500";"16492";"4500";"12650"
"Cidade Gaúcha (PR)";"11531";"27";"6121";"600";"1723"
"Clevelândia (PR)";"60167";"-";"2";"1880";"37700"
"Colombo (PR)";"342";"-";"-";"180";"20"
"Colorado (PR)";"22777";"-";"18237";"1400";"2327"
"Congonhinhas (PR)";"33385";"310";"600";"4340";"16700"
"Conselheiro Mairinck (PR)";"11037";"78";"600";"3880";"4650"
"Contenda (PR)";"15876";"-";"-";"1800";"7500"
"Corbélia (PR)";"66628";"2";"10";"24800";"33675"
"Cornélio Procópio (PR)";"64561";"198";"1892";"22104";"30305"
"Coronel Domingos Soares (PR)";"22293";"-";"2";"700";"20050"
"Coronel Vivida (PR)";"46587";"-";"100";"2700";"30450"
"Corumbataí do Sul (PR)";"6276";"40";"-";"950";"4100"
"Cruzeiro do Iguaçu (PR)";"10914";"-";"2";"600";"5100"
"Cruzeiro do Oeste (PR)";"27880";"32";"8807";"3550";"8600"
"Cruzeiro do Sul (PR)";"18844";"1";"5661";"4270";"5938"
"Cruz Machado (PR)";"25969";"-";"50";"7000";"4200"
"Cruzmaltina (PR)";"26121";"16";"-";"7600";"14000"
"Curitiba (PR)";"275";"-";"-";"60";"160"
"Curiúva (PR)";"10843";"142";"80";"1371";"7350"
"Diamante do Norte (PR)";"7932";"10";"1429";"2410";"3400"
"Diamante do Sul (PR)";"6227";"-";"60";"700";"3000"
"Diamante D'Oeste (PR)";"9350";"5";"9";"4230";"4560"
"Dois Vizinhos (PR)";"44521";"-";"15";"1800";"19000"
"Douradina (PR)";"6403";"10";"3055";"360";"1850"
"Doutor Camargo (PR)";"18965";"9";"-";"9053";"9500"
"Enéas Marques (PR)";"7250";"-";"10";"400";"3810"
"Engenheiro Beltrão (PR)";"66066";"15";"315";"30200";"34200"
"Esperança Nova (PR)";"1236";"8";"-";"200";"450"
"Entre Rios do Oeste (PR)";"10249";"-";"10";"4720";"5380"
"Espigão Alto do Iguaçu (PR)";"20730";"-";"10";"2400";"11230"
"Farol (PR)";"44943";"-";"-";"17300";"23250"
"Faxinal (PR)";"36855";"12";"-";"9850";"19200"
"Fazenda Rio Grande (PR)";"1642";"-";"-";"200";"1100"
"Fênix (PR)";"33089";"-";"120";"15630";"16600"
"Fernandes Pinheiro (PR)";"26832";"-";"-";"1600";"16600"
"Figueira (PR)";"3447";"102";"20";"510";"1600"
"Floraí (PR)";"30087";"15";"784";"15549";"13180"
"Flor da Serra do Sul (PR)";"10196";"-";"5";"700";"7100"
"Floresta (PR)";"25265";"-";"-";"12251";"12800"
"Florestópolis (PR)";"23829";"8";"5049";"8800";"9500"
"Flórida (PR)";"7803";"-";"949";"2407";"3990"
"Formosa do Oeste (PR)";"32690";"3";"5";"16170";"16185"
"Foz do Iguaçu (PR)";"20154";"-";"60";"9630";"9450"
"Francisco Alves (PR)";"34203";"-";"-";"14900";"19080"
"Francisco Beltrão (PR)";"39843";"-";"20";"3300";"25700"
"Foz do Jordão (PR)";"19990";"-";"2";"2590";"11000"
"General Carneiro (PR)";"6193";"-";"-";"900";"4000"
"Godoy Moreira (PR)";"13423";"20";"-";"4700";"6600"
"Goioerê (PR)";"65817";"-";"340";"30000";"35000"
"Goioxim (PR)";"32387";"-";"4";"3160";"21600"
"Grandes Rios (PR)";"12165";"910";"-";"3170";"5500"
"Guaíra (PR)";"67673";"-";"15";"33350";"33955"
"Guairaçá (PR)";"17692";"11";"11145";"46";"12"
"Guamiranga (PR)";"15712";"-";"-";"1100";"8300"
"Guapirama (PR)";"12423";"62";"141";"4500";"4800"
"Guaporema (PR)";"8858";"-";"6726";"726";"800"
"Guaraci (PR)";"11280";"-";"4342";"2600";"4000"
"Guaraniaçu (PR)";"43369";"-";"120";"4900";"26200"
"Guarapuava (PR)";"134475";"-";"6";"13200";"79600"
"Guaraqueçaba (PR)";"2377";"-";"-";"-";"-"
"Guaratuba (PR)";"4596";"-";"-";"-";"-"
"Honório Serpa (PR)";"39037";"-";"2";"1660";"23400"
"Ibaiti (PR)";"29399";"1623";"250";"6480";"15600"
"Ibema (PR)";"10761";"-";"10";"700";"5000"
"Ibiporã (PR)";"32050";"150";"-";"13660";"16400"
"Icaraíma (PR)";"13511";"6";"9439";"-";"244"
"Iguaraçu (PR)";"20365";"22";"1694";"8890";"9500"
"Iguatu (PR)";"7486";"4";"2";"3005";"3571"
"Imbaú (PR)";"5065";"-";"-";"650";"2850"
"Imbituva (PR)";"50930";"-";"-";"4500";"31200"
"Inácio Martins (PR)";"9173";"-";"-";"900";"7000"
"Inajá (PR)";"7917";"-";"6076";"100";"800"
"Indianópolis (PR)";"8363";"19";"4076";"1800";"1950"
"Ipiranga (PR)";"54255";"-";"-";"3000";"31450"
"Iporã (PR)";"45647";"29";"-";"18000";"25800"
"Iracema do Oeste (PR)";"13080";"2";"1";"6460";"6520"
"Irati (PR)";"70598";"-";"-";"5100";"38000"
"Iretama (PR)";"26614";"15";"-";"2550";"14500"
"Itaguajé (PR)";"7883";"-";"5093";"719";"912"
"Itaipulândia (PR)";"21514";"-";"5";"9360";"10850"
"Itambaracá (PR)";"27021";"-";"2374";"11897";"12474"
"Itambé (PR)";"36386";"4";"283";"17847";"18140"
